GPA,GMAT,Result
2.947371322408986,767.9226523903203,Accepted
2.439388559063052,710.9560419495323,Accepted
3.068150830480554,607.1556443904209,Accepted
3.7684238851264205,522.3675866753312,Accepted
2.362677300221331,683.7867976336308,Declined
2.362690434440655,647.2182462506099,Accepted
3.813370252405913,707.4231864033279,Accepted
3.163947783322327,676.2206162018364,Accepted
2.174420491252038,725.9463258383203,Accepted
2.9840480348687715,535.7717746127319,Accepted
2.17926584575003,758.087287876119,Declined
2.177416197143794,623.711952563088,Declined
2.743569817252827,849.0313047150319,Accepted
1.0193758042737615,517.2974618292519,Declined
1.1700657339895735,808.31565637983,Accepted
2.1001699766072215,623.7492940155178,Declined
1.7397351037324609,521.8298395662662,Declined
2.801397866076219,541.9336999134814,Declined
1.823580739583031,561.5583230166816,Declined
1.4201570389317666,650.89991356823,Declined
3.722519015137243,662.74025856426,Accepted
2.3693789596107715,531.1559995273706,Declined
2.604022563750339,597.0774489286821,Accepted
1.4102014510292344,857.0724430334236,Declined
2.114493820379854,807.3051804120853,Declined
2.6387380717678925,652.3588403608838,Accepted
1.6292051380621575,604.560417380184,Declined
2.8505584146765375,614.4037592061914,Accepted
2.069489048064956,673.62215672765,Accepted
2.316645000165378,477.2648921761913,Declined
2.0686347102164824,569.1148155091986,Declined
4.03182254760715,399.76991113468927,Accepted
2.5392022202096527,647.9067747126335,Accepted
1.7038312568352794,677.663512764329,Declined
3.208035929682551,542.0176245240751,Accepted
1.573325080023182,788.878411594804,Accepted
2.7170908760038044,452.908120439719,Declined
0.9822639008961793,424.2750143748216,Declined
1.4874511608812553,626.9342182271967,Declined
2.7074889886952986,725.6517963134586,Accepted
3.140773263996328,802.0713229749442,Accepted
2.687094624951976,544.9338884557272,Declined
2.4574813740894075,729.4417000117555,Accepted
2.309117043528569,595.3789836599151,Declined
1.367182407706058,579.2847240071017,Declined
1.9741246332842328,706.0391924984007,Accepted
2.1814889832321698,678.2787454096103,Accepted
3.3956977809751323,410.83294116189006,Declined
2.824894631654769,777.1848419671076,Accepted
1.1395678757098127,765.6109624976941,Declined
2.809267175515836,524.9324758188565,Accepted
2.2419341756669464,647.4964240124891,Declined
2.0084623997552327,659.2836223539286,Declined
3.039341031072694,631.2808518988688,Accepted
3.3747996179967608,533.9633815385496,Accepted
3.2950240952929586,519.4051958474338,Accepted
1.878625981421889,596.9335114810266,Declined
2.3026300993190283,740.7274823111238,Accepted
2.815010745122851,665.2320185513319,Accepted
3.330436101697887,555.5262801496673,Accepted
2.1666606097237677,692.6038452778014,Accepted
2.401472818668946,258.17488552439096,Declined
1.6649320207951772,737.8518840446525,Accepted
1.5930347007354633,391.23434654662805,Declined
3.200020657915358,556.5070870316241,Accepted
3.6349920228566583,465.6396126448627,Accepted
2.492391902735733,444.6382229134913,Declined
3.3528263183136193,739.2992144854223,Accepted
2.839308820038107,543.8758558425731,Accepted
2.0339041963159,641.5804658076859,Accepted
2.839116484406731,594.3695305344979,Accepted
3.780429253172775,657.2448992667746,Accepted
2.521339168712039,609.2186269272306,Accepted
3.801714924651205,446.04093309737164,Accepted
0.45420391672820415,719.5520183336569,Declined
3.207522003500179,540.7492100206425,Accepted
2.619637654590537,413.21017216082987,Declined
2.310794119627306,548.6261806840905,Accepted
2.6234086212284016,780.0911748761173,Accepted
0.9599448683192855,702.0266090536192,Declined
2.37426248972999,558.1617438710568,Declined
2.835690057209397,558.0890754817885,Accepted
3.732315235793213,561.4037938539141,Accepted
2.1353838253810817,849.209758027301,Declined
1.9032051176854496,645.8322542677864,Declined
2.1485943651323707,651.6049976629283,Declined
3.2823216941616593,723.634014483821,Accepted
2.8130008877277475,628.6546990831816,Accepted
2.1261918369863686,568.9149425015156,Declined
2.960613946490685,576.4380181098026,Accepted
2.627662039478432,591.4078488703124,Accepted
3.324915992426311,595.533331618819,Accepted
1.988357524898118,687.3155452364376,Accepted
2.2878702827217854,606.2335062968759,Declined
2.2363134774942734,687.9168092658695,Accepted
1.379188041494305,590.3140103869702,Declined
2.7868962216516606,609.4362228379309,Accepted
2.758844217743911,360.2159178561471,Declined
2.5540907653139686,709.9593209642978,Declined
2.362330293299882,641.5786171077591,Accepted
1.4177034063596683,719.7612131831582,Declined
2.2134837417877127,252.44935461675726,Declined
2.275828386778584,850.6049645736873,Accepted
1.9081781846227046,583.2492446213791,Declined
2.4209714306671923,732.981938008502,Accepted
2.8732406854516306,475.21128874493627,Accepted
4.058948720968424,673.5328686075084,Accepted
2.689662250265471,473.59013241916125,Declined
2.7560403125782114,525.1477247165034,Declined
2.4904432673870662,829.6837624640143,Accepted
1.0149830277607665,577.1181119083984,Declined
2.5287888996406265,626.0919447815668,Accepted
2.598184167952821,704.4081276826505,Accepted
4.520593689988229,659.4818265567126,Accepted
2.396111228175102,618.0502686172292,Accepted
2.7912378738668897,643.795320295947,Accepted
2.522230584235805,888.409870228593,Accepted
1.615057569904374,593.0857443559697,Declined
3.464258251612016,624.1318856057961,Accepted
3.151546426149419,726.0785275209134,Accepted
3.1828255576344375,732.663111954958,Accepted
1.8224900361642087,742.4436366672456,Accepted
3.6722354487488795,676.6476266435021,Accepted
1.4285191497661751,462.83941047234197,Declined
3.019485675040216,796.0117838761315,Accepted
4.3023645006479825,462.43855283775747,Accepted
1.757570939895449,636.316255828684,Declined
2.096961816317782,509.48689799767703,Declined
2.629721092070113,592.3033984088408,Accepted
2.1472194767070403,639.4514892364176,Accepted
1.3094692551470937,638.5628658540328,Declined
2.6048503798448217,650.6304905082342,Accepted
1.700157029019116,793.6453522870377,Accepted
2.928873944508145,654.4241161816776,Accepted
1.8144606126129572,570.7012037651222,Declined
3.7899475240140315,715.6904601946029,Accepted
1.92339736613101,742.7364586709568,Accepted
2.2923507870354594,452.6870621835609,Declined
3.2008137738957356,671.688008381983,Accepted
1.5653085468528356,684.1407290773078,Declined
2.7319679476833034,564.292379596801,Accepted
3.5957142034259424,765.0848175973944,Accepted
1.2640134123510176,581.9933295560968,Declined
2.6977070868258433,615.069174416585,Accepted
2.7579062353987385,579.2313810859356,Accepted
3.175458297421848,601.8694857097761,Accepted
1.5604394312975343,468.4469895725758,Declined
1.4936347095325788,427.1938940886847,Declined
2.967553252493518,791.3406075869966,Accepted
2.7875877385865486,498.36463820180063,Declined
2.750394280276701,481.03291806524317,Declined
2.8271585675975803,341.5931863675542,Declined
2.005980222737207,523.3245902772597,Declined
2.7358029577288026,441.2292247911002,Declined
2.7844579786389447,797.0418192163643,Accepted
1.9785188655789057,721.178050721116,Declined
4.042619608915805,517.4219585786732,Accepted
2.92906633672943,870.2922966413171,Accepted
1.5969572022378808,717.8118584389913,Accepted
3.0752428869070636,561.0202339789653,Accepted
1.7702546638181427,300.07131421517124,Declined
3.1796676829939616,874.913108710889,Accepted
