GPA,GMAT,State,Work_Exp,Gender
3.8494762909305935,775.4529524453969,MS,4.0,Male
2.06059486907994,352.7831148602815,MA,1.5,Female
2.1274625981892354,561.3099355183791,CA,2.5,Male
1.6916251022750632,553.9134774397901,NC,0.0,Female
3.242326103459743,736.0523330802525,PA,1.5,Male
0.7087690424957735,468.01304792231633,ME,3.0,Female
3.945849411373184,579.3086150939478,NC,0.0,Female
1.9410344792839176,494.6569898494354,WI,0.0,Male
2.805231276845679,605.0656496058712,VA,0.0,Female
2.350503699618072,669.9378256458987,NM,2.5,Female
